Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,Flow
22-Aug-2019,90.28,-0.90,-0.98%,91.40,90.01,91.47,"53,167,760","4,818,776,445.98","276,094,615,288.03"
21-Aug-2019,91.18,+1.11,+1.23%,90.97,90.75,91.48,"40,784,620","3,717,276,687.11","280,913,391,734.01"
20-Aug-2019,90.07,-0.74,-0.81%,90.73,89.99,90.84,"38,656,700","3,494,361,193.10","277,196,115,046.90"
19-Aug-2019,90.81,+1.18,+1.31%,90.90,90.63,91.30,"56,406,060","5,132,595,789.03","280,690,476,240.01"
16-Aug-2019,89.63,+0.82,+0.93%,89.64,89.23,90.15,"61,084,800","5,481,213,495.09","275,557,880,450.98"
15-Aug-2019,88.81,+0.66,+0.75%,89.10,88.10,89.40,"76,198,960","6,762,995,559.31","270,076,666,955.89"
14-Aug-2019,88.15,-3.07,-3.36%,89.65,87.86,89.78,"97,872,980","8,668,875,337.45","263,313,671,396.58"
13-Aug-2019,91.22,+1.97,+2.21%,89.15,89.00,91.59,"81,500,420","7,414,827,221.12","271,982,546,734.03"
12-Aug-2019,89.25,-1.13,-1.25%,89.80,88.85,90.05,"58,109,960","5,197,421,596.54","264,567,719,512.90"
09-Aug-2019,90.38,-1.27,-1.38%,91.45,90.11,91.55,"57,595,400","5,221,836,427.16","269,765,141,109.44"
08-Aug-2019,91.64,+1.97,+2.20%,90.30,89.91,91.71,"74,024,840","6,737,134,841.17","274,986,977,536.60"
07-Aug-2019,89.67,+0.28,+0.31%,88.70,87.85,89.95,"90,537,680","8,049,252,692.48","268,249,842,695.42"
06-Aug-2019,89.39,+1.13,+1.29%,89.61,87.67,89.69,"101,405,160","9,011,402,132.57","260,200,590,002.94"
05-Aug-2019,88.26,-2.91,-3.19%,88.51,87.44,89.43,"121,164,240","10,712,258,453.67","251,189,187,870.37"
02-Aug-2019,91.16,-1.60,-1.73%,92.25,90.40,92.32,"99,124,500","9,025,276,641.69","261,901,446,324.04"
01-Aug-2019,92.77,-0.57,-0.61%,93.59,92.20,94.90,"94,266,220","8,823,747,132.66","270,926,722,965.73"
31-Jul-2019,93.34,-1.59,-1.67%,94.91,92.47,94.98,"89,414,540","8,411,627,579.98","279,750,470,098.40"
30-Jul-2019,94.93,-0.70,-0.73%,94.56,94.17,95.49,"58,217,760","5,525,139,270.42","288,162,097,678.38"
29-Jul-2019,95.62,-1.53,-1.57%,96.50,94.53,96.61,"89,863,800","8,567,856,306.92","293,687,236,948.80"
26-Jul-2019,97.15,-1.54,-1.56%,97.10,96.23,97.54,"98,542,860","9,547,953,656.73","302,255,093,255.72"
25-Jul-2019,98.69,-1.35,-1.35%,100.05,98.64,100.06,"82,729,220","8,167,056,823.06","311,803,046,912.45"
24-Jul-2019,100.04,+0.32,+0.32%,98.47,98.29,100.07,"52,626,000","5,232,204,001.28","319,970,103,735.51"
23-Jul-2019,99.72,+0.44,+0.45%,99.80,98.66,99.89,"54,069,600","5,373,221,055.98","314,737,899,734.23"
22-Jul-2019,99.28,+1.06,+1.07%,98.56,97.91,99.45,"58,162,220","5,739,574,326.69","309,364,678,678.25"
19-Jul-2019,98.23,-0.67,-0.68%,99.56,98.11,99.80,"63,712,240","6,307,303,319.45","303,625,104,351.56"
18-Jul-2019,98.90,-0.71,-0.71%,99.00,97.58,99.38,"70,085,040","6,908,416,687.11","309,932,407,671.01"
17-Jul-2019,99.60,-0.89,-0.89%,100.35,99.60,100.60,"51,176,180","5,116,732,880.65","316,840,824,358.11"
