Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,Flow
31-Jul-2018,115.00,+0.82,+0.72%,114.66,114.11,115.49,"4,892,122","561,681,108.26","17,114,919,607.30"
30-Jul-2018,114.18,-0.10,-0.09%,113.78,113.67,114.59,"3,621,803","413,582,687.18","16,553,238,499.04"
27-Jul-2018,114.28,-0.72,-0.63%,114.77,114.03,115.35,"4,563,735","522,378,009.25","16,966,821,186.22"
26-Jul-2018,115.00,-0.21,-0.18%,116.14,114.88,116.90,"5,096,320","588,062,655.85","17,489,199,195.47"
25-Jul-2018,115.21,+0.47,+0.41%,114.94,114.50,115.67,"5,450,520","627,179,306.85","18,077,261,851.32"
24-Jul-2018,114.74,+0.35,+0.31%,114.14,113.85,114.92,"5,095,050","583,729,732.14","17,450,082,544.47"
23-Jul-2018,114.39,-1.62,-1.40%,115.52,113.58,115.98,"7,769,312","889,489,740.07","16,866,352,812.33"
20-Jul-2018,116.01,+0.24,+0.21%,115.75,115.22,116.79,"27,609,997","3,204,530,372.93","17,755,842,552.40"
19-Jul-2018,115.77,+0.94,+0.82%,114.77,114.75,116.59,"9,241,278","1,071,257,211.73","14,551,312,179.46"
18-Jul-2018,114.83,-0.05,-0.04%,114.92,113.89,115.00,"5,379,211","616,541,398.44","13,480,054,967.73"
17-Jul-2018,114.88,+1.92,+1.70%,113.47,113.47,115.03,"6,783,841","777,113,774.63","14,096,596,366.18"
16-Jul-2018,112.96,+0.27,+0.24%,112.56,111.75,113.12,"5,413,797","611,120,652.61","13,319,482,591.54"
13-Jul-2018,112.69,+1.16,+1.04%,111.68,111.62,112.79,"4,417,072","496,458,629.33","12,708,361,938.93"
12-Jul-2018,111.53,-1.01,-0.90%,112.54,110.97,112.71,"5,500,136","614,584,714.02","12,211,903,309.60"
11-Jul-2018,112.54,-0.35,-0.31%,112.64,112.10,112.94,"5,521,425","621,752,453.31","12,826,488,023.62"
10-Jul-2018,112.89,+5.13,+4.76%,110.62,109.68,113.00,"16,107,178","1,804,143,628.47","13,448,240,476.93"
09-Jul-2018,107.76,-1.80,-1.64%,109.13,107.52,109.30,"7,866,386","851,615,513.95","11,644,096,848.46"
06-Jul-2018,109.56,+0.01,+0.01%,109.49,108.97,110.02,"4,387,271","480,617,204.22","12,495,712,362.41"
05-Jul-2018,109.55,+0.75,+0.69%,108.91,108.00,109.62,"4,870,442","531,610,932.38","12,015,095,158.20"
03-Jul-2018,108.80,-0.73,-0.67%,108.58,108.06,109.57,"3,769,084","410,250,432.37","11,483,484,225.82"
02-Jul-2018,109.53,+0.66,+0.61%,108.70,108.31,110.00,"4,711,946","514,534,052.19","11,893,734,658.19"
29-Jun-2018,108.87,+0.19,+0.17%,108.72,107.80,109.50,"4,721,408","514,232,925.25","11,379,200,606.00"
28-Jun-2018,108.68,+0.41,+0.38%,108.42,108.30,109.30,"4,297,621","467,294,611.08","10,864,967,680.75"
27-Jun-2018,108.27,+0.22,+0.20%,108.37,107.62,108.96,"6,229,171","675,020,560.97","10,397,673,069.67"
26-Jun-2018,108.05,-0.94,-0.86%,109.05,107.47,109.17,"5,034,143","544,150,694.99","9,722,652,508.70"
25-Jun-2018,108.99,+0.62,+0.57%,107.71,107.71,109.59,"5,183,024","564,483,196.51","10,266,803,203.68"
22-Jun-2018,108.37,+1.13,+1.05%,107.24,107.14,108.67,"5,709,358","618,311,599.87","9,702,320,007.17"
21-Jun-2018,107.24,+1.43,+1.35%,106.57,106.30,107.43,"6,550,685","701,192,796.46","9,084,008,407.31"
20-Jun-2018,105.81,-0.15,-0.14%,105.73,105.36,106.11,"4,601,418","486,709,138.22","8,382,815,610.84"
