Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,Flow
04-Sep-2018,171.16,-4.57,-2.60%,173.50,168.80,173.89,"29,808,971","5,101,244,699.56","56,091,676,488.82"
31-Aug-2018,175.73,-1.91,-1.08%,177.15,174.98,177.62,"18,065,159","3,174,668,825.71","61,192,921,188.38"
30-Aug-2018,177.64,+1.74,+0.99%,175.90,175.70,179.79,"24,216,532","4,317,472,526.51","64,367,590,014.09"
29-Aug-2018,175.90,-0.36,-0.20%,176.30,174.75,176.79,"18,678,301","3,281,492,324.79","60,050,117,487.57"
28-Aug-2018,176.26,-1.20,-0.68%,178.10,175.83,178.24,"15,910,675","2,815,341,826.31","63,331,609,812.37"
27-Aug-2018,177.46,+2.82,+1.61%,175.99,175.79,178.67,"17,921,935","3,179,735,915.96","66,146,951,638.68"
24-Aug-2018,174.65,+1.75,+1.01%,173.70,172.92,174.82,"14,631,556","2,548,110,894.22","62,967,215,722.72"
23-Aug-2018,172.90,-0.74,-0.43%,173.09,172.83,175.55,"18,053,567","3,144,615,159.50","60,419,104,828.50"
22-Aug-2018,173.64,+1.02,+0.59%,172.21,172.13,174.24,"16,894,083","2,925,006,524.99","63,563,719,988.00"
21-Aug-2018,172.62,+0.12,+0.07%,172.81,171.39,174.17,"19,578,514","3,386,653,755.62","60,638,713,463.00"
20-Aug-2018,172.50,-1.30,-0.75%,174.04,170.91,174.57,"21,518,006","3,710,841,826.19","57,252,059,707.38"
17-Aug-2018,173.80,-0.90,-0.52%,174.50,172.04,176.22,"24,893,176","4,320,068,011.43","60,962,901,533.58"
16-Aug-2018,174.70,-4.83,-2.69%,180.42,174.01,180.50,"31,351,784","5,543,098,464.95","65,282,969,545.01"
15-Aug-2018,179.53,-1.58,-0.87%,179.34,174.78,180.87,"33,020,231","5,881,920,936.97","70,826,068,009.97"
14-Aug-2018,181.11,+1.06,+0.59%,180.71,178.62,181.99,"19,101,995","3,451,961,386.65","76,707,988,946.94"
13-Aug-2018,180.05,-0.21,-0.12%,180.10,178.90,182.61,"17,423,264","3,152,882,551.79","73,256,027,560.29"
10-Aug-2018,180.26,-2.83,-1.55%,182.04,179.42,182.10,"21,500,410","3,882,794,363.97","76,408,910,112.07"
09-Aug-2018,183.09,-2.09,-1.13%,185.85,182.48,186.57,"19,732,120","3,639,780,286.82","80,291,704,476.05"
08-Aug-2018,185.18,+1.37,+0.75%,184.75,183.76,186.85,"22,205,230","4,118,662,034.73","83,931,484,762.86"
07-Aug-2018,183.81,-1.88,-1.01%,186.50,183.72,188.30,"33,398,562","6,198,939,349.85","79,812,822,728.13"
06-Aug-2018,185.69,+7.91,+4.45%,178.97,178.38,185.79,"49,716,192","9,101,400,879.59","86,011,762,077.98"
03-Aug-2018,177.78,+1.41,+0.80%,177.69,176.15,178.85,"24,763,434","4,399,455,034.41","76,910,361,198.39"
02-Aug-2018,176.37,+4.72,+2.75%,170.68,170.27,176.79,"32,399,954","5,650,130,923.98","72,510,906,163.99"
01-Aug-2018,171.65,-0.93,-0.54%,173.93,170.90,175.08,"34,042,109","5,880,106,706.02","66,860,775,240.01"
31-Jul-2018,172.58,+1.52,+0.89%,170.67,170.00,174.24,"40,356,471","6,959,859,922.81","72,740,881,946.03"
30-Jul-2018,171.06,-3.83,-2.19%,175.30,166.56,175.30,"65,280,787","11,056,763,775.99","65,781,022,023.22"
27-Jul-2018,174.89,-1.37,-0.78%,179.87,173.00,179.93,"60,073,749","10,565,848,072.21","76,837,785,799.21"
26-Jul-2018,176.26,-41.24,-18.96%,174.89,173.75,180.13,"169,803,668","29,927,303,385.36","87,403,633,871.42"
25-Jul-2018,217.50,+2.83,+1.32%,215.72,214.27,218.62,"64,592,585","12,877,951,870.82","117,330,937,256.79"
24-Jul-2018,214.67,+3.76,+1.78%,215.11,212.60,216.20,"28,468,681","6,108,220,449.60","104,452,985,385.96"
23-Jul-2018,210.91,+0.97,+0.46%,210.58,208.80,211.62,"16,731,969","3,525,238,592.76","98,344,764,936.36"
20-Jul-2018,209.94,+1.85,+0.89%,208.85,208.50,211.50,"16,241,508","3,411,447,902.72","94,819,526,343.60"
19-Jul-2018,208.09,-1.27,-0.61%,208.77,207.76,209.99,"11,350,429","2,366,584,592.79","91,408,078,440.88"
18-Jul-2018,209.36,-0.63,-0.30%,209.82,208.44,210.99,"15,334,907","3,216,105,451.62","93,774,663,033.67"
17-Jul-2018,209.99,+2.76,+1.33%,204.90,204.84,210.46,"15,349,892","3,199,124,297.49","96,990,768,485.29"
16-Jul-2018,207.23,-0.09,-0.04%,207.50,206.84,208.72,"11,078,209","2,299,571,780.17","93,791,644,187.80"
13-Jul-2018,207.32,+0.40,+0.19%,207.81,206.45,208.43,"11,503,401","2,384,937,687.46","96,091,215,967.98"
12-Jul-2018,206.92,+4.38,+2.16%,203.43,203.19,207.08,"15,454,706","3,181,088,402.05","93,706,278,280.51"
11-Jul-2018,202.54,-1.00,-0.49%,202.22,201.75,204.50,"12,927,377","2,627,025,332.37","90,525,189,878.46"
10-Jul-2018,203.54,-1.20,-0.59%,204.50,202.26,204.91,"13,190,067","2,686,123,115.11","93,152,215,210.83"
09-Jul-2018,204.74,+1.51,+0.74%,204.93,202.12,205.80,"18,149,437","3,706,761,872.59","95,838,338,325.94"
06-Jul-2018,203.23,+4.78,+2.41%,198.45,197.70,203.64,"19,740,131","3,980,700,874.23","92,131,576,453.35"
05-Jul-2018,198.45,+5.72,+2.97%,194.74,194.03,198.65,"19,684,193","3,866,226,899.55","88,150,875,579.12"
03-Jul-2018,192.73,-4.63,-2.35%,194.55,192.52,195.40,"13,489,514","2,611,868,299.81","84,284,648,679.58"
02-Jul-2018,197.36,+3.04,+1.56%,193.37,192.22,197.45,"13,961,578","2,724,449,496.30","86,896,516,979.39"
29-Jun-2018,194.32,-1.91,-0.97%,197.32,193.96,197.60,"15,811,602","3,088,989,191.32","84,172,067,483.08"
28-Jun-2018,196.23,+0.39,+0.20%,195.18,193.26,197.34,"18,172,439","3,552,688,194.13","87,261,056,674.41"
27-Jun-2018,195.84,-3.16,-1.59%,199.18,195.80,200.75,"18,734,408","3,719,928,958.51","83,708,368,480.28"
26-Jun-2018,199.00,+2.65,+1.35%,197.60,196.23,199.10,"17,897,576","3,542,251,760.05","87,428,297,438.79"
25-Jun-2018,196.35,-5.39,-2.67%,200.00,193.11,200.00,"25,275,137","4,952,796,418.36","83,886,045,678.74"
22-Jun-2018,201.74,+0.24,+0.12%,201.16,199.31,202.24,"17,420,188","3,503,109,321.24","88,838,842,097.10"
21-Jun-2018,201.50,-0.50,-0.25%,202.76,200.09,203.39,"19,045,717","3,845,454,751.12","85,335,732,775.86"
20-Jun-2018,202.00,+4.51,+2.28%,199.10,198.81,203.55,"28,230,933","5,698,924,876.89","89,181,187,526.98"
19-Jun-2018,197.49,-0.82,-0.41%,196.24,193.79,197.96,"19,993,996","3,922,396,561.72","83,482,262,650.09"
18-Jun-2018,198.31,+2.46,+1.26%,194.80,194.13,199.58,"16,826,023","3,333,442,713.52","87,404,659,211.81"
15-Jun-2018,195.85,-0.96,-0.49%,195.79,194.64,197.07,"21,860,931","4,282,569,019.42","84,071,216,498.29"
14-Jun-2018,196.81,+4.40,+2.29%,193.10,192.91,197.28,"19,120,866","3,744,449,151.32","88,353,785,517.71"
13-Jun-2018,192.41,+0.01,+0.01%,192.74,191.91,194.50,"15,853,821","3,060,550,657.93","84,609,336,366.38"
12-Jun-2018,192.40,+0.86,+0.45%,192.17,191.56,193.28,"11,562,704","2,224,341,801.36","81,548,785,708.45"
11-Jun-2018,191.54,+2.44,+1.29%,188.81,188.80,192.60,"12,928,907","2,471,665,817.71","79,324,443,907.09"
08-Jun-2018,189.10,+0.92,+0.49%,187.53,186.43,189.48,"12,677,092","2,391,797,907.02","76,852,778,089.38"
