Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,Flow
20-May-2021,146.13,+5.47,+3.89%,143.03,142.71,146.84,"32,159,192","4,676,518,041.36","318,118,167,398.39"
19-May-2021,140.66,+0.50,+0.36%,135.67,135.43,140.80,"34,399,936","4,766,213,042.65","313,441,649,357.03"
18-May-2021,140.16,-1.50,-1.06%,142.67,140.04,144.04,"18,625,424","2,644,143,890.68","308,675,436,314.38"
17-May-2021,141.66,-0.78,-0.54%,141.57,138.54,141.69,"21,698,084","3,044,981,405.67","311,319,580,205.06"
14-May-2021,142.43,+5.78,+4.23%,138.90,137.49,143.28,"25,861,500","3,655,311,443.34","314,364,561,610.73"
13-May-2021,136.65,-0.93,-0.68%,140.34,134.59,140.81,"28,572,748","3,929,396,416.57","310,709,250,167.39"
12-May-2021,137.59,-5.48,-3.83%,140.10,137.09,142.60,"30,340,932","4,211,889,450.84","314,638,646,583.95"
11-May-2021,143.06,+0.41,+0.28%,138.25,137.50,143.55,"28,558,536","4,031,952,960.92","318,850,536,034.79"
10-May-2021,142.66,-5.47,-3.69%,147.87,142.50,148.06,"26,890,380","3,867,098,720.59","314,818,583,073.87"
07-May-2021,148.12,+2.89,+1.99%,148.08,146.72,149.71,"22,932,732","3,400,474,231.26","318,685,681,794.46"
06-May-2021,145.23,+0.64,+0.45%,144.95,142.18,145.71,"19,338,092","2,787,079,982.81","315,285,207,563.20"
05-May-2021,144.59,+1.07,+0.75%,147.09,143.88,148.14,"29,202,304","4,266,427,443.32","312,498,127,580.39"
04-May-2021,143.51,-4.86,-3.27%,146.37,140.10,146.38,"40,532,480","5,776,968,049.53","308,231,700,137.07"
03-May-2021,148.37,-1.73,-1.15%,151.25,147.88,152.47,"20,391,184","3,044,318,739.14","314,008,668,186.60"
30-Apr-2021,150.10,-3.15,-2.06%,151.75,149.97,153.65,"20,191,008","3,051,837,594.85","317,052,986,925.74"
29-Apr-2021,153.25,+0.48,+0.31%,154.00,150.72,154.37,"17,319,648","2,641,670,329.34","320,104,824,520.59"
28-Apr-2021,152.77,-1.05,-0.68%,153.65,152.16,155.32,"20,941,620","3,211,776,719.79","317,463,154,191.26"
27-Apr-2021,153.82,-0.96,-0.62%,155.79,153.55,156.71,"16,457,300","2,541,297,390.83","320,674,930,911.05"
26-Apr-2021,154.78,+2.13,+1.39%,151.85,151.25,154.79,"19,779,708","3,035,228,275.91","323,216,228,301.88"
23-Apr-2021,152.65,+4.15,+2.79%,149.34,149.00,153.35,"22,777,220","3,457,976,689.21","320,181,000,025.97"
22-Apr-2021,148.50,-5.10,-3.32%,153.75,147.84,154.39,"27,778,628","4,176,753,739.73","316,723,023,336.76"
21-Apr-2021,153.61,+1.89,+1.25%,151.19,151.02,153.63,"21,677,704","3,309,078,007.43","320,899,777,076.49"
